nr_reuniao,data,vies,periodo_vigencia,meta,tban,taxa_selic_prc_aa
272,30/07/2025,n/a,31/07/2025 -,15.00,n/a,,
271,18/06/2025,n/a,20/06/2025 - 30/07/2025,15.00,n/a,1.61,14.90
270,07/05/2025,n/a,08/05/2025 - 19/06/2025,14.75,n/a,1.64,14.65
269,19/03/2025,n/a,20/03/2025 - 07/05/2025,14.25,n/a,1.69,14.15
268,29/01/2025,n/a,30/01/2025 - 19/03/2025,13.25,n/a,1.63,13.15
267,11/12/2024,n/a,12/12/2024 - 29/01/2025,12.25,n/a,1.51,12.15
266,06/11/2024,n/a,07/11/2024 - 11/12/2024,11.25,n/a,0.97,11.15
265,18/09/2024,n/a,19/09/2024 - 06/11/2024,10.75,n/a,1.42,10.65
264,31/07/2024,n/a,01/08/2024 - 18/09/2024,10.50,n/a,1.38,10.40
263,19/06/2024,n/a,20/06/2024 - 31/07/2024,10.50,n/a,1.18,10.40
262,08/05/2024,n/a,09/05/2024 - 19/06/2024,10.50,n/a,1.15,10.40
261,20/03/2024,n/a,21/03/2024 - 08/05/2024,10.75,n/a,1.33,10.65
260,31/01/2024,n/a,01/02/2024 - 20/03/2024,11.25,n/a,1.39,11.15
259,13/12/2023,n/a,14/12/2023 - 31/01/2024,11.75,n/a,1.45,11.65
258,01/11/2023,n/a,03/11/2023 - 13/12/2023,12.25,n/a,1.28,12.15
257,20/09/2023,n/a,21/09/2023 - 02/11/2023,12.75,n/a,1.38,12.65
256,02/08/2023,n/a,03/08/2023 - 20/09/2023,13.25,n/a,1.68,13.15
255,21/06/2023,n/a,22/06/2023 - 02/08/2023,13.75,n/a,1.53,13.65
254,03/05/2023,n/a,04/05/2023 - 21/06/2023,13.75,n/a,1.74,13.65
253,22/03/2023,n/a,23/03/2023 - 03/05/2023,13.75,n/a,1.38,13.65
252,01/02/2023,n/a,02/02/2023 - 22/03/2023,13.75,n/a,1.69,13.65
251,07/12/2022,n/a,08/12/2022 - 01/02/2023,13.75,n/a,2.05,13.65
250,26/10/2022,n/a,27/10/2022 - 07/12/2022,13.75,n/a,1.43,13.65
249,21/09/2022,n/a,22/09/2022 - 26/10/2022,13.75,n/a,1.23,13.65
248,03/08/2022,n/a,04/08/2022 - 21/09/2022,13.75,n/a,1.74,13.65
